leaf_categ_id,site_id,move_to,leaf_categ_name
10219,0,3825,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Emerald:Natural:Cabochon
1021,0,1021,Pottery & Glass:Glass:Glassware:Elegant:Cambridge:Other Cambridge Glassware
10220,0,3825,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Emerald:Natural:Emerald
10221,0,3825,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Emerald:Natural:Oval
10222,0,3825,Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Emerald:Natural:Pear
10223,0,3825,"Jewelry & Watches:Loose Diamonds & Gemstones:Gemstones:Emerald:Natural:Square, Princess"
10224,0,10224,Jewelry & Watches:Loose Diamonds & Gemstones:Loose Gemstones:Garnet:Other Garnets
10226,0,10224,Jewelry & Watches:Loose Gemstones:Garnet:Cabochon
10227,0,10224,Jewelry & Watches:Loose Gemstones:Garnet:Oval
10228,0,10224,Jewelry & Watches:Loose Gemstones:Garnet:Pear
10229,0,10224,Jewelry & Watches:Loose Gemstones:Garnet:Rough
1022,0,1022,Pottery & Glass:Glass:Glassware:Elegant:Duncan & Miller
